Ticker Symbol,Company Name,Annoucement Date,For Quarter Ended In,Estimated EPS,Actual EPS,Surprise,Surprise %
TIF,Tiffany & Co.,5-Dec-19,19-Oct,0.85,0.65,-0.2,-23.5
WFC,Wells Fargo,15-Oct-19,19-Sep,1.15,0.92,-0.23,-20
WY,Weyerhaeuser,25-Oct-19,19-Sep,0.1,0.08,-0.02,-20
GOOGL,Alphabet Inc Class A,28-Oct-19,19-Sep,12.57,10.12,-2.45,-19.4
GOOG,Alphabet Inc Class C,28-Oct-19,19-Sep,12.57,10.12,-2.45,-19.4
EQR,Equity Residential,22-Oct-19,19-Sep,0.88,0.71,-0.17,-19.3
HAS,Hasbro Inc.,22-Oct-19,19-Sep,2.22,1.84,-0.38,-17.1
PFG,Principal Financial Group,24-Oct-19,19-Sep,1.46,1.23,-0.23,-15.7
TWTR,Twitter Inc.,24-Oct-19,19-Sep,0.2,0.17,-0.03,-15
AVB,AvalonBay Communities Inc.,28-Oct-19,19-Sep,2.35,2,-0.35,-14.8
YUM,Yum! Brands Inc,30-Oct-19,19-Sep,0.94,0.8,-0.14,-14.8
CF,CF Industries Holdings Inc,30-Oct-19,19-Sep,0.34,0.29,-0.05,-14.7
FANG,Diamondback Energy,5-Nov-19,19-Sep,1.71,1.47,-0.24,-14
KSS,Kohl's Corp.,19-Nov-19,19-Oct,0.85,0.74,-0.11,-12.9
BKR,Baker Hughes Co,30-Oct-19,19-Sep,0.24,0.21,-0.03,-12.5
NRG,NRG Energy,7-Nov-19,19-Sep,2.14,1.88,-0.26,-12.1
UHS,Universal Health Services Inc.,24-Oct-19,19-Sep,2.26,1.99,-0.27,-11.9
EXPE,Expedia Group,6-Nov-19,19-Sep,3.82,3.38,-0.44,-11.5
LYV,Live Nation Entertainment,31-Oct-19,19-Sep,0.79,0.71,-0.08,-10.1
NEM,Newmont Corporation,5-Nov-19,19-Sep,0.4,0.36,-0.04,-10
MET,MetLife Inc.,30-Oct-19,19-Sep,1.41,1.27,-0.14,-9.9
IPGP,IPG Photonics Corp.,29-Oct-19,19-Sep,1.19,1.08,-0.11,-9.2
PNW,Pinnacle West Capital,7-Nov-19,19-Sep,3.03,2.77,-0.26,-8.5
CHRW,C. H. Robinson Worldwide,29-Oct-19,19-Sep,1.16,1.07,-0.09,-7.7
CXO,Concho Resources,29-Oct-19,19-Sep,0.66,0.61,-0.05,-7.5
LNC,Lincoln National,30-Oct-19,19-Sep,2.4,2.22,-0.18,-7.5
APA,Apache Corporation,30-Oct-19,19-Sep,-0.27,-0.29,-0.02,-7.4
CPRI,Capri Holdings,6-Nov-19,19-Sep,1.25,1.16,-0.09,-7.2
BEN,Franklin Resources,25-Oct-19,19-Sep,0.65,0.61,-0.04,-6.1
CAT,Caterpillar Inc.,23-Oct-19,19-Sep,2.82,2.66,-0.16,-5.6
BR,Broadridge Financial Solutions,6-Nov-19,19-Sep,0.72,0.68,-0.04,-5.5
MO,Altria Group Inc,31-Oct-19,19-Sep,1.14,1.08,-0.06,-5.2
